id,label
4.45607E+15,-1
4.45642E+15,0
4.4568E+15,0
4.45679E+15,0
4.45709E+15,1
4.45715E+15,0
4.45783E+15,0
4.45861E+15,0
4.4586E+15,-1
4.45885E+15,0
4.45969E+15,0
4.45966E+15,0
4.45897E+15,0
4.46005E+15,0
4.46041E+15,0
4.46004E+15,0
4.46006E+15,0
4.46005E+15,0
4.46E+15,0
4.46041E+15,0
4.46042E+15,0
4.46042E+15,0
4.46067E+15,0
4.46078E+15,0
4.46114E+15,0
4.46113E+15,0
4.46149E+15,0
4.4621E+15,0
4.46256E+15,0
4.46292E+15,0
4.46322E+15,0
4.46328E+15,0
4.46823E+15,0
4.46834E+15,0
4.4686E+15,0
4.46392E+15,0
4.46405E+15,0
4.4644E+15,0
4.46441E+15,0
4.4643E+15,0
4.47018E+15,0
4.47005E+15,0
4.47015E+15,0
4.46477E+15,0
4.46513E+15,0
4.46513E+15,0
4.46586E+15,0
4.45575E+15,0
4.46619E+15,0
4.46688E+15,0
4.46767E+15,0
4.46757E+15,0
4.46837E+15,0
4.4608E+15,0
4.46095E+15,0
4.4691E+15,0
4.46946E+15,0
4.4702E+15,0
4.47056E+15,0
4.47054E+15,0
4.47129E+15,0
4.47129E+15,0
4.47165E+15,0
4.4664E+15,0
4.46688E+15,0
4.46725E+15,0
4.47238E+15,0
4.47236E+15,0
4.46878E+15,0
4.46942E+15,0
4.47261E+15,0
4.46969E+15,0
4.4731E+15,0
4.4731E+15,0
4.47006E+15,0
4.4702E+15,0
4.47122E+15,0
4.47342E+15,0
4.47339E+15,0
4.47344E+15,0
4.47001E+15,0
4.47052E+15,0
4.47075E+15,0
4.47085E+15,0
4.47109E+15,0
4.45844E+15,0
4.45712E+15,0
4.46308E+15,0
4.4633E+15,0
4.46346E+15,0
4.46476E+15,0
4.46509E+15,0
4.46548E+15,0
4.46548E+15,0
4.46577E+15,0
4.46618E+15,0
4.46615E+15,0
4.46622E+15,0
4.4661E+15,0
4.46311E+15,0
4.46325E+15,0
4.46317E+15,0
4.4664E+15,0
4.46676E+15,0
4.46728E+15,0
4.46717E+15,0
4.46727E+15,0
4.46726E+15,0
4.46758E+15,0
4.46765E+15,0
4.46766E+15,0
4.46581E+15,0
4.46583E+15,0
4.46802E+15,0
4.46802E+15,0
4.46602E+15,0
4.46839E+15,0
4.46649E+15,0
4.46839E+15,0
4.46852E+15,0
4.46866E+15,0
4.4687E+15,0
4.46875E+15,0
4.46673E+15,0
4.46893E+15,0
4.46894E+15,0
4.46887E+15,0
4.46902E+15,0
4.46946E+15,0
4.46979E+15,0
4.46786E+15,0
4.46982E+15,0
4.47015E+15,0
4.4702E+15,0
4.46856E+15,0
4.47054E+15,0
4.47113E+15,0
4.47127E+15,0
4.47157E+15,0
4.46953E+15,0
4.46978E+15,0
4.46968E+15,0
4.47237E+15,0
